"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC_Os02g27790",52.2905200373997,3.35619502259759,0.338159193475594,9.92489657933791,3.24438891411051e-23,5.60044321199618e-21
"LOC_Os01g69850",4103.35148775501,1.54957236968773,0.15643635079518,9.90544948032293,3.9419349419398e-23,6.76092380170137e-21
"LOC_Os11g12650",1280.51985483599,1.39077678738835,0.140547691435362,9.89540826451755,4.35828467349458e-23,7.42740539643446e-21
"LOC_Os03g18870",1694.90984802647,-2.03850950644877,0.206462999234748,-9.87348587400395,5.42459854292674e-23,9.18611130471822e-21
"LOC_Os06g09280",571.021836507069,1.04544655565671,0.105943971638262,9.86791923589863,5.73417253236628e-23,9.64927800477939e-21
"LOC_Os01g66350",3523.47961669671,-1.05877310755571,0.107607532302501,-9.83920999674383,7.63076612398874e-23,1.27605486508402e-20
"LOC_Os02g09460",414.070709391436,-1.82128279682846,0.185460359380978,-9.82033466832192,9.20374824185956e-23,1.52953719229313e-20
"LOC_Os01g68524",235.530282197486,1.44142192747505,0.147141914228151,9.79613412694937,1.16977200490552e-22,1.9084402294666e-20
"LOC_Os07g44660",649.53258921992,-1.65145318205806,0.168807617776998,-9.78304891571722,1.33138245088462e-22,2.1589375064163e-20
"LOC_Os10g35570",505.154224358323,-1.01755815318677,0.104109366274331,-9.7739347534349,1.45681728593558e-22,2.34810863268026e-20
"LOC_Os05g10625",244.250814594754,2.44268489502292,0.250260014761626,9.76058799225114,1.66188856827764e-22,2.66260422352315e-20
"LOC_Os03g42464",2780.60086656686,2.13064199359476,0.218511189323411,9.75072260689251,1.8315983133191e-22,2.91703836137891e-20
"LOC_Os12g34340",303.510551131204,1.22530724890745,0.125835066099133,9.73740696366901,2.08814608816663e-22,3.30594300207021e-20
"LOC_Os11g02180",351.898716769315,-1.79097904996952,0.184145271005003,-9.72590303402828,2.33821374788591e-22,3.68007335520208e-20
"LOC_Os05g49230",2829.66136390543,1.14092061380042,0.117625809871878,9.69957711698775,3.02750815661344e-22,4.73707650516662e-20
"LOC_Os12g02660",3009.47678389103,-1.04706288079106,0.107989539589073,-9.69596578312481,3.13655994598769e-22,4.87917429737481e-20
"LOC_Os03g29240",5291.28953960699,2.66611549184502,0.27514396546823,9.68989266149422,3.32878326726945e-22,5.09384334851886e-20
"LOC_Os06g02028",689.28891023346,-1.16137360422691,0.119855221228242,-9.68980401792667,3.33167359093587e-22,5.09384334851886e-20
"LOC_Os01g15010",3344.7737571612,1.06074905887256,0.109537966990339,9.68384833147501,3.53166285625135e-22,5.3689301921512e-20
"LOC_Os02g42374",458.257271068657,1.19057056549572,0.123461413001487,9.64326048561739,5.24936069997945e-22,7.93513530444351e-20
"LOC_Os07g47500",732.572636388556,-1.28253141740028,0.133032630067814,-9.64072811870675,5.38049639264859e-22,8.08767199335425e-20
"LOC_Os04g49660",408.39430687874,-2.53121151810636,0.263259311976832,-9.61489832629024,6.91776607475452e-22,1.03403211785549e-19
"LOC_Os02g48560",16623.6446613336,-1.28840076998399,0.134207124115532,-9.60009223411177,7.98729169353509e-22,1.18726653640125e-19
"LOC_Os01g15900",1666.58717265715,2.95432758506091,0.307836041133525,9.59708153139696,8.22400590406776e-22,1.21569890590739e-19
"LOC_Os01g45530",603.697089717864,1.08856790132355,0.113496502901214,9.59120213836918,8.70646038759846e-22,1.27994535236585e-19
"LOC_Os10g29470",1513.48589116794,-2.91412712979131,0.304218157358752,-9.57907034574139,9.79223509337439e-22,1.43169968392527e-19
"LOC_Os12g16524",705.948919878895,-1.66635628394887,0.174365117707982,-9.5567066730606,1.21563509965949e-21,1.76769199600486e-19
"LOC_Os01g04380",903.481885196963,4.91288584495509,0.516346028799566,9.51471604492994,1.82209832433112e-21,2.62107864332277e-19
"LOC_Os10g26620",1213.48656272267,2.07890505845094,0.218531687133547,9.51306003133772,1.85134852082309e-21,2.64891342369747e-19
"LOC_Os05g44570",122.885905288572,-2.03272400553773,0.214033754491014,-9.49721229892773,2.15584212029495e-21,3.06817615801126e-19
"LOC_Os05g31670",704.96370641352,6.56070366193786,0.690880230217303,9.49615197394535,2.17789822511697e-21,3.08316639741957e-19
"LOC_Os02g11060",356.179932105136,1.05749613163427,0.111370579355147,9.49529164486116,2.19595808342864e-21,3.09237128843246e-19
"LOC_Os06g42810",2449.61525538485,1.86031123441215,0.196480433674172,9.46817553088848,2.84773997111979e-21,3.98922150090477e-19
